"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_l01bb05",2.09511481110822,0.521353433019508,8.4194440732891,278,0.297,0.436198704103672
"atc_j01xx01",0.00274159952524006,1.52538921897855e-16,49275082472.5884,160,0.705,0.841052631578947
"atc_c05aa01",0.00100855579895034,3.52915563745902e-17,28822327607.1986,422,0.663,0.825714285714286
"atc_g03bb01",0.000371010361201748,6.54685415374349e-17,2102516489.39428,1277,0.598,0.789592233009709
"atc_c01bc03",0.467386798497565,0.286419305993555,0.762694465207311,9911,0.00233,0.00464633431085044
"atc_n06ag02",0.334102608101875,0.20194578456272,0.552745148813974,12991,1.97e-05,4.75035460992908e-05
"atc_n02cc03",0.0764083431905554,0.0112984551244757,0.516728600928671,3789,0.00837,0.0156793388429752
"atc_j02ab02",0.920767325709307,0.22977961346926,3.68967662227915,630,0.907,0.941618320610687
"atc_l02ba02",0.712114264065907,0.177831975047261,2.85160598903183,814,0.631,0.808060263653484
"atc_a03ba03",0.000371008824465752,1.67853115434795e-16,820047620.057017,1363,0.586,0.77828125
"atc_l01aa02",3.15940894255214,2.17688881088463,4.58538112574619,2591,1.42e-09,4.34954954954955e-09
"atc_g01af05",0.00100854972555276,1.53014043240578e-15,664757644.050545,547,0.619,0.805638095238095
"atc_l02bx02",9.05278390631961,5.66253711404754,14.472822836112,593,3.49e-20,1.36390804597701e-19
"atc_c01ca24",0.475508947067554,0.153458624213616,1.47341838818096,1827,0.198,0.298536585365854
"atc_m05ba08",2.67015160205257,1.26856926515039,5.62027614400595,765,0.0097,0.0179239130434783
"atc_n03ax11",0.872740640774341,0.482883951044881,1.57734839687893,3655,0.652,0.8225
"atc_n05ab01",0.277149797088385,0.0904488754337622,0.849231233199625,3133,0.0247,0.0426294416243655
"atc_n05ax12",2.75676767952176,1.75455382268821,4.33145335331571,2012,1.09e-05,2.67581227436823e-05
"atc_c09dx01",1.13515159031661,0.704983581825449,1.82780020161855,4347,0.602,0.791798839458414
"atc_l01xx35",1.21650961320346,0.391410602527807,3.78092884929275,716,0.735,0.852901023890785
"atc_r03dx07",4.01566228179701,0.99470215521755,16.2114291970347,146,0.0509,0.0840097087378641
"atc_m04aa03",8.76147787782386,2.14598757465871,35.7707078596692,68,0.0025,0.00494186046511628
"atc_l01ca04",13.4362812895088,8.67439264637268,20.8122530591577,473,2.69e-31,1.27916083916084e-30
