"VARIABLE1_LABEL","VARIABLE2_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"atc_c08db01","atc_c10aa01",2.13453695116628,1.74301769709946,2.6139998483528,128865,2.23e-13,2.64919711538462e-12
"atc_j01ma14","atc_a10bb01",0.00247976960231462,3.68876269108012e-25,16670243644117346304,59,0.815,0.877692307692308
"atc_b02aa02","atc_c10aa01",1.03192320408006,0.678035489479832,1.57051587363929,1988,0.883,0.926493842887473
"atc_a11cc03","atc_c10aa01",1.07593257875159,0.851380440939224,1.35971048705555,13895,0.54,0.668507014028056
"atc_r03ak06","atc_c10aa01",1.26031150282192,1.13864206661353,1.39498190934515,163185,7.95e-06,4.22007518796993e-05
"atc_c09ba02","atc_c10aa01",1.61565766993192,1.38284345176737,1.88766827009495,257176,1.51e-09,1.28884628670121e-08
"atc_b03ba03","atc_c10aa01",1.05430892842656,0.946145914987469,1.17483709325606,157111,0.338,0.46987229254571
"atc_b01ac04","atc_c10aa01",1.04543642112439,0.93886017607637,1.16411084255476,191398,0.418,0.552932548179872
"atc_n03ag01","atc_c10aa01",1.15491716070902,0.946880540782088,1.40866095632136,27729,0.155,0.253645695364238
"atc_j01ma14","atc_c10aa01",0.801915549874252,0.521768900036543,1.23247772928798,2632,0.314,0.443114791547687
"atc_a10ab05","atc_c10aa01",0.854626587555716,0.735859535182177,0.992562532978941,75732,0.0396,0.0828899618805591
"atc_a10ae04","atc_l02bb03",0.757875507933294,0.435353217938661,1.31933166417085,1449,0.327,0.458189396087326
"atc_b02aa02","atc_l02bb03",0.869274072184792,0.437585797510743,1.72683258202451,286,0.689,0.789848758988634
"atc_b03ba03","atc_l02bb03",0.686786791284238,0.442874565540248,1.0650331569778,4058,0.0932,0.167793952641166
"atc_r03ak06","atc_l02bb03",0.715266859726495,0.473827032512903,1.07973299435817,4483,0.111,0.19268071654373
"atc_a11cc03","atc_l02bb03",1.17486186976107,0.432160111361894,3.19395607491084,178,0.752,0.834579833819897
"atc_c09ba02","atc_l02bb03",2.04217293307319,1.19539174779792,3.48878959241551,4116,0.00897,0.0232824264705882
"atc_b01ac04","atc_l02bb03",0.80542791491461,0.501400997109548,1.29380302365446,2623,0.371,0.505648648648649
"atc_n03ag01","atc_l02bb03",1.79703850645845,0.884719380717605,3.65013750583273,403,0.105,0.184468538926413
"atc_a10ab05","atc_l02bb03",0.771592946111767,0.363919619995371,1.63595377049748,861,0.499,0.631512932138284
"atc_a10ae04","atc_n02ax02",0.730800324687743,0.550053268483204,0.970940716408121,8367,0.0305,0.0669320603907638
"atc_j01ma14","atc_l02bb03",1.15379202519319,0.359127291432282,3.70686402609543,80,0.81,0.874977049180328
"atc_r03ak06","atc_n02ax02",0.638992756181876,0.504604917966801,0.809171151359596,22012,0.000201,0.000829859649122807
"atc_b03ba03","atc_n02ax02",0.802874514733539,0.613949283858445,1.04993605067424,13391,0.109,0.189742162733357
"atc_c08db01","atc_l02bb03",2.39189696071223,1.18348929419828,4.83415532249495,2356,0.0151,0.0367245078740157
"atc_b02aa02","atc_n02ax02",0.496766934298315,0.202595195670475,1.21808114054952,369,0.126,0.213763130792997
"atc_a11cc03","atc_n02ax02",0.868231242743166,0.56591743306678,1.33204147253472,1973,0.518,0.649240679685519
"atc_c09ba02","atc_n02ax02",2.00485222939676,1.41677519301471,2.83702910774739,14572,8.61e-05,0.000381619910313901
"atc_b03ba03","atc_j01ca08",0.711775700474136,0.55424802312137,0.914075696530731,16744,0.00772,0.020534036598493
"atc_n03ag01","atc_n02ax02",0.724480851408786,0.416948274744416,1.25884320874032,2234,0.253,0.374349101796407
"atc_b01ac04","atc_n02ax02",0.729368314488238,0.533883904440221,0.996430373261008,9487,0.0474,0.0962015605749486
"atc_b02aa02","atc_j01ca08",0.587862521166038,0.258102396909325,1.33893504256412,357,0.206,0.319038545910373
"atc_a10ab05","atc_n02ax02",0.975624719265814,0.700971725990848,1.35789156331096,5338,0.884,0.927149405772496
"atc_r03ak06","atc_j01ca08",0.658402512530591,0.484069305939592,0.895520255441876,11537,0.00774,0.0205650967741936
"atc_b01ac04","atc_j01ca08",0.614549209740676,0.423252307487275,0.892306372610253,7267,0.0105,0.0266929012345679
"atc_a11cc03","atc_j01ca08",0.223898502674952,0.0716272708468449,0.699880630762489,892,0.0101,0.0257555211558308
"atc_c08db01","atc_n02ax02",1.77753310852265,1.15738800975113,2.72996084742022,12372,0.0086,0.0224874074074074
"atc_j01ma14","atc_n02ax02",0.180654438133494,0.0445988005250759,0.731769142512674,445,0.0165,0.0396802919708029
"atc_c09ba02","atc_j01ca08",1.07299491908891,0.618406529430607,1.86174957992551,9525,0.802,0.870330259112868
"atc_a10ae04","atc_j01ca08",0.644828357085507,0.490687290859449,0.847390217450518,9837,0.00164,0.005424953145917
"atc_n03ag01","atc_j01ca08",0.777615548433904,0.514946466084329,1.17426952312969,3671,0.232,0.349769371568029
"atc_c08db01","atc_j01ca08",1.20559705507147,0.622448420747614,2.3350758243571,6912,0.579,0.703051105651106
"atc_b02aa02","atc_c10aa02",0.961463552072654,0.133602168701986,6.9191403922953,166,0.969,0.978303983656793
"atc_a10ab05","atc_j01ca08",0.628307493138801,0.416576331483126,0.947654189878896,4816,0.0267,0.0600324840764331
"atc_b03ba03","atc_c10aa02",1.668410898994,1.02630888655207,2.7122389412739,8472,0.039,0.0818420382165605
"atc_a10ae04","atc_c10aa02",1.40588022010845,0.808156693544974,2.44568808138221,4826,0.228,0.345001837109614
"atc_j01ma14","atc_j01ca08",0.22736174531854,0.0316171467238912,1.63497875648694,170,0.141,0.234857431749242
