"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"C05AA05",0.0221772587348688,1.22830258897674e-28,4.00415019399286e+24,15,0.902,0.978388059701493
"A10AB02",0.0221772682943266,6.76978443513539e-44,7.26509438684531e+39,6,0.938,0.978388059701493
"C09AA16",0.0011040748230875,3.62306043876458e-25,3364506984021923840,450,0.787,0.978388059701493
"L04AD02",2.08832088613721,0.521377112647399,8.36454845770387,826,0.298,0.572429378531073
"L04AB06",14.8342120399495,2.05465484822472,107.100152142982,59,0.0075,0.0242857142857143
"L01XE02",0.0221772566568294,4.80977016878608e-27,1.02256593467752e+23,17,0.895,0.978388059701493
"R03BA07",0.00300122313112115,4.20271713687885e-20,214321830125973,269,0.769,0.978388059701493
"C09BB10",0.00300122368966318,3.13912355446362e-20,286938168540314,265,0.771,0.978388059701493
"C10AC02",1.20966718381374,0.45366372645146,3.22550517106955,2849,0.704,0.978388059701493
"G02CB03",4.88868030968219,1.21778018181439,19.6252127659579,354,0.0252,0.0699428571428571
"N05AE03",0.00300122239430281,5.99809442951466e-20,150169957574236,274,0.767,0.978388059701493
"B01AC22",3.94668661459818,0.553430958302666,28.1450377868632,219,0.171,0.366813880126183
"L04AB05",0.00815832058033965,3.22561681117782e-21,20634253411920424,83,0.824,0.978388059701493
"L04AX04",0.00110407768693907,1.38376050481039e-26,88092378309623578624,396,0.8,0.978388059701493
"L01XX17",0.0221772512707843,4.62627600474109e-24,1.06312393256145e+20,22,0.881,0.978388059701493
"N07XX02",2.0436324970462,0.287192674581532,14.542271278572,422,0.475,0.789731051344743
"G04BE04",4.05838647506591,0.569022034604758,28.9452776506947,213,0.162,0.349714285714286
"L01BC04",0.00300123870711657,4.92229862423987e-25,18299242822728347648,161,0.82,0.978388059701493
"N03AA03",0.505179550894158,0.0713440099028252,3.57712412000993,1704,0.494,0.817323600973236
"A10BD04",0.0221772502077143,1.38607924365725e-23,3.5483572027083e+19,23,0.878,0.978388059701493
"B01AC24",0.00300123639299286,5.01330870512847e-24,1796701622904328448,177,0.812,0.978388059701493
"G03FB11",0.00300123770130175,1.41531634903058e-24,6364250470140196864,168,0.817,0.978388059701493
"N02AA03",0.0011040667520109,2.9397077845652e-22,4146546127121894,602,0.755,0.978388059701493
"A10BH05",0.00300122570914245,1.07071702499273e-20,841245216706890,251,0.777,0.978388059701493
"A10BX04",0.0081583162751672,4.15790305347609e-20,1600761816464527,94,0.813,0.978388059701493
"R01AC07",0.00110407046528965,1.92326534051283e-23,63380312983744336,532,0.769,0.978388059701493
"H05AA03",0.0221772534606125,4.04597147337838e-25,1.21560563215135e+21,20,0.887,0.978388059701493
"A04AA03",0.00110407992294388,6.6151954288149e-28,1.84271574342007e+21,354,0.811,0.978388059701493
"C09DB02",3.01365559004081,0.751839557555167,12.079864545725,573,0.119,0.270635451505017
"J01DD04",0.022177241633092,1.20668894085523e-20,40758643739948968,31,0.859,0.978388059701493
"B01AC05",0.0221772587348689,1.22830258897721e-28,4.00415019399139e+24,15,0.902,0.978388059701493
"R03AK08",4.34534601524026,0.609057712442064,31.0020407039185,199,0.143,0.314692556634304
"C07AG01",0.358481819153878,0.0511037053664205,2.51467508554312,2401,0.302,0.57685393258427
"L03AA10",0.00815832726420412,1.88009776918174e-23,3540151200691240448,66,0.843,0.978388059701493
"A12AA07",0.0221772534606122,4.04597147337703e-25,1.21560563215172e+21,20,0.887,0.978388059701493
"N02CC07",5.03162660321346,1.25324452724121,20.2013778826522,344,0.0227,0.0640497925311203
"R03CA02",0.00300122268684733,5.20872419964906e-20,172927904623056,272,0.768,0.978388059701493
"G03DB01",0.839054127426745,0.376801995742183,1.86838667710656,6158,0.667,0.978388059701493
"R05CB02",0.00815832726420443,1.88009776918143e-23,3540151200692070400,66,0.843,0.978388059701493
"L01XE05",6.18979098112721,0.865765923256434,44.2538928373778,140,0.0693,0.176494382022472
"N01BB02",13.877163459611,1.92417516097818,100.082190847358,63,0.00907,0.0281625570776256
"A08AB01",0.00110405794090432,3.96085299026645e-20,30774783610231.7,768,0.725,0.978388059701493
"L04AB01",1.65224640276577,0.619484665637428,4.40675665901015,2087,0.316,0.592677595628415
"N05BA09",0.000406139071636801,1.03534362828772e-21,159318066971444,1824,0.706,0.978388059701493
"C05BA04",0.00815832648324787,3.80134108466132e-23,1750916045808952832,68,0.84,0.978388059701493
"L01XE10",0.0221772523141609,1.4289868428699e-24,3.44181279666777e+20,21,0.884,0.978388059701493
"G04BE01",1.43698439503805,0.538842097192481,3.83215075871339,2399,0.469,0.78551724137931
"L04AC03",0.00815832609377826,5.34324907766563e-23,1245651918616926976,69,0.839,0.978388059701493
"N06AX22",0.00815833395570489,9.12615122572055e-27,7.29315253348239e+21,49,0.864,0.978388059701493
"L01XE11",0.0221772566568294,4.80977016878707e-27,1.02256593467731e+23,17,0.895,0.978388059701493
"M01AE14",0.00300123264043411,1.19193987652474e-22,75569225758847296,203,0.799,0.978388059701493
"A02BA07",0.00815832371725942,3.56438159844667e-22,186731538241033216,75,0.833,0.978388059701493
"N05AE04",0.00300121979358974,1.99941644856975e-19,45049745668932.6,292,0.76,0.978388059701493
"C02DC01",0.0221772543776143,1.03825518615054e-25,4.73708793647287e+21,19,0.889,0.978388059701493
"C09XA02",0.00300123697274555,2.8926680104995e-24,3113880795819161088,173,0.814,0.978388059701493
"N02CC06",0.712199392848457,0.100294016239795,5.05741014459893,1209,0.734,0.978388059701493
"A09AA02",1.74524186497758,1.08424421294525,2.80920952208416,8400,0.0218,0.0620251046025105
"L01AB01",0.0221772534606122,4.04597147337703e-25,1.21560563215172e+21,20,0.887,0.978388059701493
