"VARIABLE1_LABEL","EFFECT","EFFECT_L95","EFFECT_U95","N","P","P_FDR"
"A03CA05",0.00274158275021654,3.47849706015524e-13,21607826.1568214,287,0.612,0.800307692307692
"A03BB01",0.00274159754854308,5.80977947342181e-16,12937422414.3321,175,0.692,0.834326241134752
"A08AA10",0.00274159358819642,5.34781917008625e-15,1405495429.77881,205,0.668,0.829057971014493
"L02BX03",15.2173242737419,3.67116233411237,63.0772864224769,40,0.000175,0.000385113268608414
"A04AD12",2.38945434585165,0.333872880735794,17.1007961423123,122,0.386,0.556101694915254
"A10AB02",0.0202599249277327,1.33561608265196e-27,3.07322263791821e+23,6,0.895,0.934869431643625
"N02CC02",0.386010585987868,0.0546661745840703,2.72571061773394,750,0.34,0.495074946466809
"J02AC03",37.7130519572427,11.3232755488207,125.606259584297,26,3.35e-09,1.00796460176991e-08
"C05AA05",0.0202599161675322,2.40326912854069e-18,170794106344917,15,0.835,0.901269841269841
"M04AC01",0.0202599287339177,4.91974551159185e-46,8.34321026029275e+41,2,0.939,0.954439461883408
"N06BA04",0.00274160534619404,7.43428836770195e-19,10110449719618.8,116,0.747,0.858040540540541
"B01AC11",6.88393038160308,0.947447825611102,50.0169995832672,43,0.0566,0.0927421686746988
"N07BB04",0.0202599006100329,1.69236176429098e-13,2425389070.99674,31,0.764,0.867
"R01AC03",0.781406785975249,0.109799151149313,5.56103174548072,371,0.805,0.885530546623794
"C09AA16",0.00100855444047798,9.39777642535973e-17,10823646077.2041,450,0.652,0.8225
"B01AF02",0.0202599172118621,6.63486495688914e-19,618647475266710,14,0.84,0.90379746835443
"A10AE02",0.00274160005203817,1.03401122499565e-16,72691385389.6254,156,0.708,0.841396160558464
"A10BH05",3.4975435128958,1.12033511313891,10.9188853238082,251,0.0311,0.0527381546134663
"N02AA03",5.8812562178959,3.32079979296112,10.4159169046733,602,1.24e-09,3.81538461538462e-09
"N03AA03",0.85084786102221,0.353695837218732,2.04679277058715,1704,0.718,0.847058823529412
"L01BC04",3.63682359504906,0.901674618620159,14.66880134848,161,0.0696,0.112151658767772
"L01XX17",13.7678747246771,1.85194692554605,102.354107355702,22,0.0104,0.0189597855227882
"B01AC24",3.30431145313846,0.819884397003278,13.317089847361,177,0.0928,0.146753488372093
"N07XX02",17.4399682783171,11.550600087546,26.3321811198923,422,4.07e-42,2.38586206896552e-41
"A10BD04",0.0202599082924705,2.78846462058878e-15,147200678462.489,23,0.796,0.884444444444444
"A10BX04",3.10886415200976,0.433341384684306,22.3035155589684,94,0.259,0.385382932166302
"G03FB11",0.00274159847142703,3.18284832045788e-16,23615206952.2739,168,0.698,0.838306878306878
"G04BE04",0.00274159253242671,8.91628411153081e-15,842989020.968676,213,0.662,0.825714285714286
"R01AC07",0.00100855046002648,1.04536769415712e-15,973029907.184735,532,0.624,0.805973534971645
"L04AD02",1.40694059692599,0.52677990283492,3.75770190287383,826,0.496,0.685528455284553
"L01XE02",0.0202599141691369,2.22290160875664e-17,18465240230330.5,17,0.824,0.893652312599681
"N05AE03",1.05905442225262,0.14864900136234,7.54526609000804,274,0.954,0.962662721893491
"L04AB05",0.00745265994978724,5.13134909238151e-14,1082408141.15777,83,0.709,0.841396160558464
"R03BA07",2.16573760561006,0.538836501634749,8.70471722335727,269,0.276,0.408888888888889
"L04AX04",5.20311287390863,2.46400688523932,10.9871379584251,396,1.53e-05,3.70249110320285e-05
"C10AC02",0.10153019063996,0.0146122649325507,0.705460765936657,2849,0.0207,0.0359081632653061
"B01AC22",1.32625057263395,0.185981298261629,9.45762072774376,219,0.778,0.875894039735099
"L04AB06",0.00745266855589776,4.29755207800878e-16,129241641743.647,59,0.753,0.859966499162479
"G02CB03",0.0010085591108234,2.05125499595778e-18,495887387004.235,354,0.689,0.834326241134752
"C09BB10",0.00274158565847973,1.37650886627061e-13,54604021.1360626,265,0.626,0.805973534971645
"A04AA03",5.8328962699769,2.76004313719636,12.3268649093907,354,3.85e-06,9.80524344569289e-06
"H05AA03",0.0202599111828835,3.26933598140992e-16,1255496539579.62,20,0.81,0.885530546623794
"J01DD04",0.0202599006100327,1.69236176429054e-13,2425389070.9973,31,0.764,0.867
"L03AA10",4.44807317291562,0.617222517474273,32.0554652357386,66,0.139,0.213363431151242
"B01AC05",0.0202599161675323,2.40326912854064e-18,170794106344920,15,0.835,0.901269841269841
"C09DB02",0.505451633383802,0.071223752704791,3.58702460890084,573,0.495,0.685528455284553
"A12AA07",0.0202599111828833,3.26933598140953e-16,1255496539579.75,20,0.81,0.885530546623794
"R03AK08",0.00274159437548856,3.57238078374713e-15,2104014150.42505,199,0.673,0.829057971014493
